"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MUC13",0,3.27992415422689,0.801,0.148,0,"0","MUC13"
"PDK4",0,2.69199491364366,0.82,0.368,0,"0","PDK4"
"TTR",0,2.59386592995251,1,0.698,0,"0","TTR"
"GCG",0,2.17833088192029,0.995,0.681,0,"0","GCG"
"CLU",0,2.06957026060833,0.991,0.702,0,"0","CLU"
"VGF",0,2.00125014080539,0.963,0.541,0,"0","VGF"
"RGS4",0,1.92935751975519,0.744,0.231,0,"0","RGS4"
"IRX2",0,1.78184397147157,0.749,0.139,0,"0","IRX2"
"GC",0,1.70834215731072,0.794,0.166,0,"0","GC"
"VSTM2L",0,1.69204262916253,0.531,0.094,0,"0","VSTM2L"
"GPX3",0,1.64350762354754,0.983,0.541,0,"0","GPX3"
"CYSTM1",9.88131291682493e-324,1.25645510893548,0.964,0.791,1.98861422451102e-319,"0","CYSTM1"
"KCTD12",8.25577765412973e-318,1.65411141922117,0.569,0.143,1.66147525289361e-313,"0","KCTD12"
"PALLD",1.11593224042354e-317,1.95695189717194,0.746,0.316,2.24581363385237e-313,"0","PALLD"
"TMEM176B",1.97226098451134e-309,1.21857386749204,0.92,0.459,3.96917523132907e-305,"0","TMEM176B"
"F10",1.30858354632316e-303,1.22267853650359,0.54,0.119,2.63352438697535e-299,"0","F10"
"TMEM176A",1.12981889931211e-299,1.21082992995108,0.9,0.439,2.27376053486562e-295,"0","TMEM176A"
"SLC7A2",2.15319676347013e-296,1.49472582795237,0.866,0.501,4.33330848648363e-292,"0","SLC7A2"
"MRC1",1.92678841649604e-277,1.26445840342939,0.292,0.027,3.87766168819828e-273,"0","MRC1"
"IGFBP2",5.52467128542674e-276,1.74378131484273,0.713,0.297,1.11184009619213e-271,"0","IGFBP2"
"SMOC1",1.38819863229858e-274,1.40414332214768,0.676,0.238,2.79374974750088e-270,"0","SMOC1"
"GRIA3",1.81200403210467e-250,1.19917789102213,0.461,0.108,3.64665811461066e-246,"0","GRIA3"
"RNASEK",6.89561790521215e-250,0.884798457030535,0.981,0.93,1.38774310342395e-245,"0","RNASEK"
"CST3",2.58425431483614e-243,0.977675050111716,0.969,0.87,5.20081180860773e-239,"0","CST3"
"SCG5",3.80533761870341e-242,1.06475358132866,0.981,0.647,7.65824195764062e-238,"0","SCG5"
"PCSK2",6.79237196757733e-225,0.856689125159211,0.911,0.497,1.36696485847494e-220,"0","PCSK2"
"FABP5",2.68896778116465e-220,1.11388656494273,0.534,0.159,5.41154765959386e-216,"0","FABP5"
"GNG4",3.61058609293878e-216,1.34426628077923,0.769,0.413,7.2663045120393e-212,"0","GNG4"
"FEV",1.86922327376966e-210,1.0880292091617,0.497,0.135,3.76181183846144e-206,"0","FEV"
"SYT5",3.88231988181323e-210,1.2406776174542,0.559,0.205,7.81316876214912e-206,"0","SYT5"
"CHGA",6.62247109702934e-210,0.78457369841854,0.986,0.641,1.33277230827715e-205,"0","CHGA"
"CALY",7.95000846064458e-207,1.27598952992564,0.59,0.216,1.59993920270472e-202,"0","CALY"
"PAPPA2",5.07643514588054e-204,0.940222724004522,0.494,0.135,1.02163257310846e-199,"0","PAPPA2"
"CD99",5.54681461475994e-202,1.006077510033,0.982,0.795,1.11629644122044e-197,"0","CD99"
"ALDH1A1",1.22244435010097e-200,1.3016218009851,0.864,0.561,2.46016925457821e-196,"0","ALDH1A1"
"LMCD1",6.60942867578551e-196,1.44977505299916,0.538,0.194,1.33014752100183e-191,"0","LMCD1"
"ATP5E",6.27074831687913e-193,0.813274178818666,0.978,0.91,1.26198809877193e-188,"0","ATP5E"
"CAMK2G",2.07577523262211e-183,1.621966248453,0.512,0.196,4.177497655652e-179,"0","CAMK2G"
"NPNT",1.13268891089779e-181,1.01609681457505,0.363,0.085,2.2795364331818e-177,"0","NPNT"
"KLHL41",1.26508886075504e-179,1.17240775115181,0.311,0.061,2.54599133226953e-175,"0","KLHL41"
"PPP2R2B",5.54111053318494e-179,0.868274086945206,0.287,0.051,1.11514849480347e-174,"0","PPP2R2B"
"OAZ1",1.66319480855265e-174,0.798906664060648,0.97,0.911,3.34717955221221e-170,"0","OAZ1"
"HIGD1A",7.1031658099827e-173,1.07207258221125,0.643,0.328,1.42951211925902e-168,"0","HIGD1A"
"AP1S2",8.58062106469913e-166,1.10773908566428,0.413,0.129,1.7268499892707e-161,"0","AP1S2"
"CD63",8.21658601294998e-165,0.646282207269105,0.993,0.975,1.65358793510618e-160,"0","CD63"
"TMEM45B",4.78911980457588e-163,0.918625149270975,0.333,0.078,9.63810360670896e-159,"0","TMEM45B"
"IDS",1.58329296191852e-162,0.899339311320913,0.895,0.66,3.18637708586103e-158,"0","IDS"
"HLA.E",1.73200681045913e-161,1.16670053287243,0.846,0.664,3.485663706049e-157,"0","HLA.E"
"PLD3",8.65758883969862e-159,0.853044062858075,0.903,0.688,1.74233975398935e-154,"0","PLD3"
"FBLL1",5.70808254634946e-158,0.788557418766077,0.329,0.08,1.14875161245283e-153,"0","FBLL1"
"TM4SF4",9.60002778908503e-155,0.598223516741328,0.723,0.302,1.93200559255336e-150,"0","TM4SF4"
"TUBA1B",2.05103111624469e-153,0.717496384600991,0.979,0.925,4.12770012144245e-149,"0","TUBA1B"
"RAB3B",2.86246145498712e-152,0.956028632046353,0.784,0.456,5.76070367816157e-148,"0","RAB3B"
"PAM",1.07012368246574e-151,0.820513693537154,0.927,0.652,2.1536239109623e-147,"0","PAM"
"PCSK1N",2.78580732914477e-145,0.720384702629164,0.997,0.658,5.60643724990385e-141,"0","PCSK1N"
"PLP2",1.17256968252115e-141,0.953733008914675,0.806,0.617,2.35979648607381e-137,"0","PLP2"
"MYL6",4.00921973038504e-141,0.665008519113198,0.969,0.929,8.0685547073999e-137,"0","MYL6"
"CDK5R2",2.10642267149209e-140,0.974060534029231,0.585,0.281,4.23917562637782e-136,"0","CDK5R2"
"SNRPB",3.03229590344234e-137,0.926210266724849,0.76,0.544,6.10249550567772e-133,"0","SNRPB"
"CFL1",1.74775054291624e-132,0.66203248253998,0.951,0.888,3.51734796761894e-128,"0","CFL1"
"EMC10",1.27185766877635e-128,0.695168499552973,0.878,0.669,2.5596135584124e-124,"0","EMC10"
"RHOB",7.67201389540344e-117,1.07937849104664,0.687,0.433,1.54399279644994e-112,"0","RHOB"
"PCBP1",3.5546909882493e-114,0.709431602982457,0.916,0.854,7.15381561385172e-110,"0","PCBP1"
"SPINT2",1.77557809891693e-111,0.551356653438057,0.954,0.815,3.57335092407033e-107,"0","SPINT2"
"COTL1",1.81779449126357e-111,1.0889349261071,0.567,0.301,3.65831141366792e-107,"0","COTL1"
"H1FX",1.18123214370344e-110,0.924267349018355,0.837,0.69,2.37722968920318e-106,"0","H1FX"
"EEF1A2",1.88004850312798e-108,0.851016352363348,0.788,0.54,3.78359761254507e-104,"0","EEF1A2"
"RIIAD1",5.0833208278156e-108,0.676699120867473,0.293,0.087,1.02301831659789e-103,"0","RIIAD1"
"EZR",1.46489665852821e-107,0.909923728317048,0.609,0.357,2.94810452528803e-103,"0","EZR"
"CTSZ",6.26233051684477e-107,0.944771925665782,0.649,0.409,1.26029401651501e-102,"0","CTSZ"
"PEMT",1.92139203053063e-106,0.754563044731411,0.879,0.617,3.86680146144289e-102,"0","PEMT"
"LOXL4",1.7857023931038e-105,1.26670638016331,0.314,0.098,3.5937260661214e-101,"0","LOXL4"
"ELL2",2.01362110638241e-105,0.757338911026229,0.738,0.52,4.0524124765946e-101,"0","ELL2"
"FTL",5.43323297518126e-104,0.630924572805961,0.999,0.991,1.09343813625523e-99,"0","FTL"
"COX8A",1.30811612508299e-101,0.556186010670009,0.944,0.883,2.63258370172951e-97,"0","COX8A"
"SOCS1",2.66256883170161e-101,0.967302735308111,0.303,0.098,5.3584197737995e-97,"0","SOCS1"
"HINT1",1.37983765705648e-100,0.607395132925708,0.941,0.877,2.77692328482617e-96,"0","HINT1"
"GAPDH",4.1680575732303e-100,0.325879849332194,0.996,0.988,8.38821586612597e-96,"0","GAPDH"
"NENF",6.37675979682021e-99,0.698207075549669,0.809,0.651,1.28332290911007e-94,"0","NENF"
"INHBA",6.52707170765199e-99,0.411699550867544,0.393,0.148,1.31357318116496e-94,"0","INHBA"
"WDR83OS",4.86097541181411e-98,0.651758751655748,0.873,0.785,9.7827130162759e-94,"0","WDR83OS"
"ZDHHC14",1.3571676174281e-97,0.791635491899114,0.375,0.154,2.73129983007406e-93,"0","ZDHHC14"
"C2CD4B",3.22206923177771e-94,1.03334480499861,0.664,0.428,6.48441432895265e-90,"0","C2CD4B"
"RHBDD2",3.96731843534726e-94,0.738877640016382,0.736,0.525,7.98422835113636e-90,"0","RHBDD2"
"SCG2",4.59112811862418e-94,0.938385703110953,0.862,0.596,9.23964533873116e-90,"0","SCG2"
"TUBB4B",6.44683380409837e-94,0.691260100812295,0.821,0.66,1.2974253030748e-89,"0","TUBB4B"
"USH1C",1.22462080117241e-93,0.645560603556504,0.339,0.124,2.46454936235948e-89,"0","USH1C"
"FXYD5",3.47270178163812e-93,0.991519203857359,0.584,0.352,6.98881233554672e-89,"0","FXYD5"
"SMIM24",6.73442302670806e-93,0.607257591740572,0.379,0.141,1.355302634125e-88,"0","SMIM24"
"ZNF703",2.18454893945974e-92,0.657734854731248,0.281,0.091,4.39640474066274e-88,"0","ZNF703"
"CHGB",1.22819735532528e-91,0.369986703048106,0.942,0.601,2.47174717759213e-87,"0","CHGB"
"SNRPG",3.75972377296572e-91,0.78293389307898,0.734,0.578,7.56644409309352e-87,"0","SNRPG"
"COX6A1",7.38946894901579e-91,0.607454413729824,0.887,0.801,1.48713062598943e-86,"0","COX6A1"
"COX17",5.43923365001414e-90,0.621709664322868,0.844,0.706,1.09464577206535e-85,"0","COX17"
"FAM96B",1.29871103717848e-89,0.791422658831814,0.655,0.476,2.61365596232169e-85,"0","FAM96B"
"UQCR11",1.75220074813718e-88,0.619508052263142,0.839,0.739,3.52630400562607e-84,"0","UQCR11"
"MALAT1",1.36075646942622e-87,0.484055378118435,0.939,0.825,2.73852239472028e-83,"0","MALAT1"
"ACTB",8.94305550625178e-87,0.587488324786781,0.975,0.955,1.79978992063317e-82,"0","ACTB"
"TUBA1A",1.27488030061151e-85,0.835385079147573,0.898,0.735,2.56569660498066e-81,"0","TUBA1A"
"RPS15",8.03207590734038e-85,0.412712324882375,0.991,0.983,1.61645527635225e-80,"0","RPS15"
"NPTN",8.44353663957058e-85,0.76912893604802,0.584,0.37,1.69926174871358e-80,"0","NPTN"
"GLS",1.15620876449203e-84,0.742973366738116,0.578,0.35,2.32687013854021e-80,"0","GLS"
"YWHAH",3.93137512302531e-84,0.801547699383591,0.739,0.588,7.91189243508843e-80,"0","YWHAH"
"UBA52",8.39484497063211e-83,0.444823305071499,0.982,0.961,1.68946255033971e-78,"0","UBA52"
"STC2",1.77245933394216e-82,0.696110277365191,0.315,0.118,3.5670744095586e-78,"0","STC2"
"EDIL3",5.00068852182939e-82,0.752908382827402,0.416,0.197,1.00638856501817e-77,"0","EDIL3"
"CLIC1",2.12990833020016e-81,0.654214368317869,0.887,0.817,4.28644051452783e-77,"0","CLIC1"
"MCU",1.27992325085568e-80,0.733882346492569,0.285,0.107,2.57584554234705e-76,"0","MCU"
"CPLX2",8.96048520864352e-79,0.719840463144291,0.489,0.263,1.80329764823951e-74,"0","CPLX2"
"GRAMD4",4.49845306759727e-78,0.95591719892173,0.294,0.115,9.05313679853951e-74,"0","GRAMD4"
"ITM2B",8.4601681729569e-78,0.568548002228683,0.92,0.83,1.70260884480758e-73,"0","ITM2B"
"PSMD8",3.1376848889562e-77,0.679224515607939,0.775,0.669,6.31459083902436e-73,"0","PSMD8"
"TAPBP",6.5676042288667e-77,0.677303226286968,0.733,0.576,1.32173035105942e-72,"0","TAPBP"
"TP53I13",2.10560895358029e-75,0.720661839799358,0.463,0.261,4.23753801908034e-71,"0","TP53I13"
"MLLT11",4.07364267184032e-75,0.640566067715617,0.327,0.135,8.19820587707864e-71,"0","MLLT11"
"NDUFA6",4.16033374000037e-74,0.759431488315698,0.666,0.511,8.37267165175075e-70,"0","NDUFA6"
"LMNA",9.42277750938815e-74,0.846263818704394,0.771,0.653,1.89633397376437e-69,"0","LMNA"
"PSME2",2.0655458995905e-73,0.769334248100001,0.585,0.405,4.15691112292588e-69,"0","PSME2"
"MAPK8IP1",2.15312734214687e-73,0.681193665349753,0.473,0.271,4.33316877607058e-69,"0","MAPK8IP1"
"B2M",3.02128501058969e-73,0.359054417348035,0.995,0.97,6.08033608381176e-69,"0","B2M"
"NAA20",1.30155129017137e-72,0.69312540374728,0.653,0.488,2.61937197146989e-68,"0","NAA20"
"CUTA",1.74180586368515e-72,0.708725860243212,0.729,0.574,3.50538430066636e-68,"0","CUTA"
"HLA.A",1.80436522878404e-70,0.296895865394746,0.987,0.925,3.63128502292789e-66,"0","HLA.A"
"PARM1",4.95602108356792e-70,0.704219541648407,0.678,0.478,9.97399243068043e-66,"0","PARM1"
"VIM",7.60374375027279e-70,0.850091188911433,0.607,0.36,1.5302534297424e-65,"0","VIM"
"SNRPD1",5.59153757590928e-69,0.740672924807491,0.553,0.375,1.12529693715174e-64,"0","SNRPD1"
"ID4",5.69229576579677e-68,0.820663976136052,0.448,0.246,1.1455745228666e-63,"0","ID4"
"HSBP1",6.24595543021427e-68,0.689649192697479,0.652,0.502,1.25699853033062e-63,"0","HSBP1"
"CNIH2",7.22908211807597e-68,0.673540057592253,0.615,0.389,1.45485277626279e-63,"0","CNIH2"
"ARX",9.5388971944234e-68,0.518999229390701,0.3,0.114,1.91970306037771e-63,"0","ARX"
"PTP4A3",9.87286984712157e-68,0.61817555126413,0.456,0.239,1.98691505673322e-63,"0","PTP4A3"
"NUDC",1.01452059353259e-67,0.710137362306164,0.641,0.499,2.04172269448434e-63,"0","NUDC"
"C19orf53",2.06829105570644e-67,0.593643795713063,0.805,0.709,4.16243574960922e-63,"0","C19orf53"
"CLDN7",2.48672609646055e-67,0.595809589362552,0.775,0.622,5.00453626912686e-63,"0","CLDN7"
"NDUFB9",5.51136973680711e-66,0.624427274194319,0.718,0.596,1.10916315953243e-61,"0","NDUFB9"
"POLR2L",1.08468035347694e-65,0.562886284114837,0.829,0.743,2.18291921137234e-61,"0","POLR2L"
"C2CD4A",9.81290595816796e-65,0.60260945542208,0.607,0.377,1.9748473240813e-60,"0","C2CD4A"
"PCDH17",8.40362284717661e-64,0.696146014020978,0.528,0.319,1.69122909799429e-59,"0","PCDH17"
"SSR4",1.02466275626975e-63,0.513036195262113,0.89,0.797,2.06213379699287e-59,"0","SSR4"
"CBX6",3.0654912709601e-63,0.627235631814447,0.659,0.472,6.1693011828072e-59,"0","CBX6"
"JUND",2.86140275651007e-62,0.602158232401506,0.874,0.81,5.75857304747651e-58,"0","JUND"
"SEZ6L2",3.31293516642947e-62,0.525775803776356,0.76,0.572,6.66728202243931e-58,"0","SEZ6L2"
"FAU",3.69615889896395e-62,0.393389541312292,0.978,0.961,7.43851978416494e-58,"0","FAU"
"SMDT1",1.48325979269828e-61,0.596472380334987,0.701,0.565,2.98506033280529e-57,"0","SMDT1"
"C6orf48",3.01586904256907e-61,0.564574467336292,0.812,0.72,6.06943644817026e-57,"0","C6orf48"
"NDUFS6",1.35286982438506e-60,0.57170524282735,0.72,0.601,2.72265052157493e-56,"0","NDUFS6"
"PAX6",1.60754723759155e-60,0.670474550870392,0.7,0.481,3.235188815653e-56,"0","PAX6"
"SLC22A17",2.16339826302004e-60,0.483321643766367,0.675,0.444,4.35383900432783e-56,"0","SLC22A17"
"RPS19BP1",4.52070210909026e-60,0.611643285453319,0.653,0.516,9.09791299454415e-56,"0","RPS19BP1"
"SNHG8",5.79847805597597e-60,0.595588058373149,0.778,0.646,1.16694370876516e-55,"0","SNHG8"
"RPS27A",1.544890323659e-59,0.328282094850956,0.995,0.991,3.10909177636373e-55,"0","RPS27A"
"HSPB1",2.02503373473463e-59,0.64060768657803,0.903,0.765,4.07538039115344e-55,"0","HSPB1"
"SNHG19",2.51417035666772e-59,0.742923393175357,0.477,0.301,5.05976784279378e-55,"0","SNHG19"
"CRIP2",4.34966492148397e-59,0.629845470254591,0.708,0.53,8.7537006544865e-55,"0","CRIP2"
"GNG5",5.27731842822523e-59,0.566646148389489,0.721,0.576,1.06206033368033e-54,"0","GNG5"
"RPL30",8.39140273891322e-59,0.367018319934501,0.982,0.973,1.68876980120628e-54,"0","RPL30"
"KCNJ6",9.05481971470813e-59,0.576526434014157,0.329,0.158,1.82228246758501e-54,"0","KCNJ6"
"GPRC5C",1.1442484891945e-58,0.686111471100735,0.489,0.316,2.30280008450394e-54,"0","GPRC5C"
"YBX1",3.23066300171211e-58,0.427632521187702,0.914,0.866,6.50170929094562e-54,"0","YBX1"
"MDK",4.32824940441438e-58,0.485826014915609,0.66,0.454,8.71060192638395e-54,"0","MDK"
"CYCS",1.82771414773935e-56,0.63285387451836,0.608,0.448,3.67827472232543e-52,"0","CYCS"
"SMPD1",1.92863378503375e-56,0.54532160753148,0.629,0.452,3.88137549238042e-52,"0","SMPD1"
"BSG",2.17542603760435e-56,0.425370070020085,0.816,0.709,4.37804490067876e-52,"0","BSG"
"ERH",2.72612689573026e-56,0.578365822536159,0.759,0.665,5.48633037765714e-52,"0","ERH"
"VWA5B2",4.49046057943952e-56,0.494660306704079,0.269,0.115,9.03705191612204e-52,"0","VWA5B2"
"NLRP1",1.25290332300749e-55,0.51730248474819,0.732,0.5,2.52146793755258e-51,"0","NLRP1"
"SNHG6",1.66401504679736e-55,0.521309419213138,0.796,0.699,3.34883028167968e-51,"0","SNHG6"
"TMEM163",1.74853302883094e-55,0.652948910803006,0.401,0.233,3.51892272052227e-51,"0","TMEM163"
"EDF1",1.33375424830094e-54,0.524394680603835,0.854,0.774,2.68418042470564e-50,"0","EDF1"
"LAMTOR5",2.1512155076774e-54,0.591369553211122,0.574,0.422,4.32932120920076e-50,"0","LAMTOR5"
"TUBB3",4.03282537238529e-54,0.701434082832418,0.413,0.237,8.11606106192541e-50,"0","TUBB3"
"RCAN2",9.40781723623558e-54,0.603645054045875,0.347,0.178,1.89332321879241e-49,"0","RCAN2"
"MAPK8IP2",1.14714160831584e-53,0.541610365035642,0.391,0.213,2.30862248673562e-49,"0","MAPK8IP2"
"ITGB1",3.08338158509882e-53,0.336004340103477,0.867,0.759,6.20530544001138e-49,"0","ITGB1"
"SYNGR4",3.63206201189986e-53,0.535741459920355,0.389,0.201,7.30952479894846e-49,"0","SYNGR4"
"PSMB4",4.42436044775088e-53,0.538665236490781,0.744,0.652,8.90402540109864e-49,"0","PSMB4"
"PTP4A1",1.65959966881044e-52,0.546368193461428,0.715,0.569,3.33994433348101e-48,"0","PTP4A1"
"SF3B5",1.7440607429856e-52,0.533479252849299,0.745,0.665,3.50992224525852e-48,"0","SF3B5"
"SLC39A1",2.3289508657466e-52,0.595358489900721,0.61,0.458,4.68701361731504e-48,"0","SLC39A1"
"HSPA1A",6.37063139249912e-52,1.04460258706239,0.625,0.488,1.28208956774045e-47,"0","HSPA1A"
"KDELR1",3.11725431639676e-51,0.454166082786501,0.867,0.798,6.27347431174847e-47,"0","KDELR1"
"UQCR10",8.43261640943801e-51,0.531580425611133,0.688,0.591,1.6970640523994e-46,"0","UQCR10"
"UBB",1.25238627951837e-50,0.482189901459323,0.927,0.898,2.52042738753072e-46,"0","UBB"
"GADD45G",1.65934892224163e-50,0.766187595598963,0.413,0.237,3.33943970601128e-46,"0","GADD45G"
"TGM2",2.06672719150331e-50,1.11506445180122,0.488,0.321,4.1592884729004e-46,"0","TGM2"
"AEN",2.72493535536716e-50,0.586640041191987,0.302,0.151,5.48393240267641e-46,"0","AEN"
"SCGB2A1",2.81494516656003e-50,0.593667655764472,0.398,0.221,5.66507714770206e-46,"0","SCGB2A1"
"CIB1",4.54635370690447e-50,0.511898406631876,0.817,0.714,9.14953683514525e-46,"0","CIB1"
"PLEKHA1",2.06249260265675e-49,0.696072777631226,0.425,0.274,4.15076636284671e-45,"0","PLEKHA1"
"PEF1",3.28398323567965e-49,0.579197030529953,0.508,0.353,6.60901626180529e-45,"0","PEF1"
"ATP6V0D1",6.38069451413005e-49,0.610624380205757,0.529,0.373,1.28411477096867e-44,"0","ATP6V0D1"
"CPE",7.43077156269301e-49,0.315072503548306,0.975,0.69,1.49544277699197e-44,"0","CPE"
"SSX2IP",2.29270636930884e-48,0.498640254702312,0.255,0.114,4.61407156823404e-44,"0","SSX2IP"
"RAN",3.42558345286193e-48,0.517187920277447,0.724,0.621,6.89398669888463e-44,"0","RAN"
"TUBB",3.67938794867771e-48,0.356884650324645,0.903,0.819,7.4047682467139e-44,"0","TUBB"
"NDUFB2",8.67209739672677e-48,0.547412324225509,0.69,0.578,1.74525960109126e-43,"0","NDUFB2"
"EIF5A",8.67943777464116e-48,0.455925593862967,0.8,0.718,1.74673685214653e-43,"0","EIF5A"
"CAPNS1",1.19504506958043e-47,0.477208711321561,0.822,0.76,2.40502820253061e-43,"0","CAPNS1"
"RCN1",2.10477043986481e-47,0.558026746971333,0.401,0.246,4.23585051022793e-43,"0","RCN1"
"ZFP36",3.04500144531247e-46,0.706988183586091,0.615,0.455,6.12806540869134e-42,"0","ZFP36"
"RFX6",3.14196738464434e-46,0.547513714071162,0.36,0.195,6.32320936159674e-42,"0","RFX6"
"CETN2",5.26717280760127e-46,0.592357143898073,0.381,0.224,1.06001852752975e-41,"0","CETN2"
"NDUFS5",1.28776891644429e-45,0.450679151274798,0.801,0.753,2.59163494434414e-41,"0","NDUFS5"
"ALPK3",1.63589496539228e-45,0.610058805323425,0.364,0.211,3.29223861785197e-41,"0","ALPK3"
"BUD31",1.70551375508017e-45,0.591198700626233,0.592,0.473,3.43234643209884e-41,"0","BUD31"
"C16orf45",2.69806810907931e-45,0.564988952499657,0.4,0.249,5.42986206952212e-41,"0","C16orf45"
"RAB4B",2.82620254191317e-45,0.578173993773303,0.41,0.256,5.68773261560025e-41,"0","RAB4B"
"ATP5J2",3.51024766325238e-45,0.521744704879782,0.673,0.572,7.06437342229541e-41,"0","ATP5J2"
"TMUB1",7.88903068545422e-45,0.561819884694191,0.542,0.414,1.58766742544766e-40,"0","TMUB1"
"RPL37A",1.16466994163559e-44,0.254785133219153,0.996,0.995,2.34389825754163e-40,"0","RPL37A"
"CLDN3",1.24288716695142e-44,0.598144537860735,0.524,0.37,2.50131042348973e-40,"0","CLDN3"
"MPC2",2.0746515736588e-44,0.533186742481689,0.573,0.43,4.17523629198833e-40,"0","MPC2"
"SERF2",2.96282826928712e-44,0.325717448616492,0.978,0.975,5.96269189194034e-40,"0","SERF2"
"PPME1",3.36508817222625e-44,0.635482436226213,0.443,0.294,6.77223994660534e-40,"0","PPME1"
"SLC35A4",4.61991351121015e-44,0.522047391974257,0.352,0.204,9.29757594131044e-40,"0","SLC35A4"
"UBE2QL1",5.76761959265541e-44,0.516718031666421,0.312,0.161,1.1607334430219e-39,"0","UBE2QL1"
"GNAS",6.00582900087001e-44,0.274069345448774,0.998,0.973,1.20867308642509e-39,"0","GNAS"
"PRR13",1.02884956763277e-43,0.552935544416254,0.681,0.594,2.07055975486096e-39,"0","PRR13"
"IL6R",1.78444372291351e-43,0.473081008349432,0.251,0.117,3.59119299236345e-39,"0","IL6R"
"RAB11B",3.48423998657689e-43,0.510551852205994,0.616,0.493,7.01203297298599e-39,"0","RAB11B"
"DCTN2",7.04205723116273e-43,0.564030017551032,0.66,0.578,1.4172140177715e-38,"0","DCTN2"
"ANXA7",1.00012006080019e-42,0.496606391160914,0.622,0.499,2.01274162236038e-38,"0","ANXA7"
"DNAJA4",1.01758864736296e-42,0.493673947512041,0.342,0.191,2.04789715281796e-38,"0","DNAJA4"
"PSENEN",1.08539414990084e-42,0.594363306369936,0.404,0.261,2.18435572667544e-38,"0","PSENEN"
"TBCA",1.14676791362807e-42,0.515250231401353,0.73,0.649,2.3078704261765e-38,"0","TBCA"
"ATP6V0E1",2.81353259171245e-42,0.466487326280043,0.747,0.659,5.6622343408213e-38,"0","ATP6V0E1"
"SELK",4.85667169569629e-41,0.502495994215111,0.661,0.557,9.77405178758878e-37,"0","SELK"
"DYNLRB1",5.18476026770388e-41,0.457625545289784,0.736,0.633,1.04343300387541e-36,"0","DYNLRB1"
"TUSC3",3.9770499863365e-40,0.457893936557111,0.682,0.523,8.0038130975022e-36,"0","TUSC3"
"ASPHD1",4.19997238515641e-40,0.502396825304654,0.351,0.208,8.45244442512728e-36,"0","ASPHD1"
"USMG5",7.80836472782819e-40,0.458825538799408,0.698,0.621,1.57143340147542e-35,"0","USMG5"
"ADGRG1",1.15887644380842e-39,0.498711677688688,0.499,0.344,2.33223884316445e-35,"0","ADGRG1"
"TRNP1",1.1784074982198e-39,0.545139812607996,0.407,0.259,2.37154509016735e-35,"0","TRNP1"
"ARL2",2.28417427141308e-39,0.505793549637397,0.614,0.504,4.59690072121882e-35,"0","ARL2"
"EMC7",2.92785752020563e-39,0.534834791660291,0.48,0.35,5.89231325941382e-35,"0","EMC7"
"ANAPC11",5.68939793762425e-39,0.462056085795711,0.723,0.658,1.14499133494688e-34,"0","ANAPC11"
"DPP6",1.0483235183306e-38,0.491104854231222,0.468,0.303,2.10975108064032e-34,"0","DPP6"
"CNTN1",1.0792862051707e-38,0.538968266069467,0.354,0.207,2.17206348790604e-34,"0","CNTN1"
"RUNDC3A",1.95019179252005e-38,0.489575171669329,0.345,0.2,3.92476098244659e-34,"0","RUNDC3A"
"BEX1",2.65340717074847e-38,0.352192889389741,0.741,0.532,5.3399819311313e-34,"0","BEX1"
"TMEM208",2.71225357705169e-38,0.493839459153565,0.681,0.594,5.45841032381653e-34,"0","TMEM208"
"NUCB1",3.02731281666175e-38,0.415620568910106,0.677,0.552,6.09246704353178e-34,"0","NUCB1"
"CCDC92",3.1447526230268e-38,0.504232864783122,0.353,0.211,6.32881465384144e-34,"0","CCDC92"
"BAX",3.99185019642857e-38,0.516076739874935,0.495,0.355,8.0335985203125e-34,"0","BAX"
"STXBP1",5.48582050677063e-38,0.473871691792452,0.519,0.36,1.10402137698759e-33,"0","STXBP1"
"VWA5A",5.57117046693207e-38,0.498419806083641,0.476,0.324,1.12119805647008e-33,"0","VWA5A"
"FAM131C",2.43511103710661e-37,0.411240288085392,0.253,0.126,4.90066096217706e-33,"0","FAM131C"
"COPZ1",2.45243903091677e-37,0.445279356363295,0.733,0.664,4.93553354972e-33,"0","COPZ1"
"SLC36A4",2.98393805762906e-37,0.45800410122962,0.301,0.168,6.00517534097849e-33,"0","SLC36A4"
"ZSCAN18",3.09768957485907e-37,0.45679436364719,0.309,0.174,6.23410026940387e-33,"0","ZSCAN18"
"HSD17B12",9.48766844426371e-37,0.652455529015107,0.444,0.309,1.90939327440807e-32,"0","HSD17B12"
"HSPBP1",2.26611798941839e-36,0.527468024808696,0.362,0.232,4.5605624537045e-32,"0","HSPBP1"
"RHOA",2.39388580082196e-36,0.379066943724192,0.897,0.874,4.81769517415419e-32,"0","RHOA"
"CAPZB",2.66783030675849e-36,0.419456399469203,0.737,0.651,5.36900849235146e-32,"0","CAPZB"
"ATP5D",3.29103647884944e-36,0.423197948440599,0.772,0.736,6.62321091368449e-32,"0","ATP5D"
"ATP6V1F",4.32380597035342e-36,0.445505060960102,0.711,0.625,8.70165951533626e-32,"0","ATP6V1F"
"TPPP3",4.8545035596952e-36,0.693687768059887,0.462,0.314,9.7696884138866e-32,"0","TPPP3"
"PLOD3",4.95329242003795e-36,0.499614933733667,0.4,0.264,9.96850099532637e-32,"0","PLOD3"
"DNAJC12",6.71155539469545e-36,0.490286333793875,0.567,0.415,1.35070052318246e-31,"0","DNAJC12"
