"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DPM32",1.45355209474577e-13,0.309648337875045,0.558,0.471,2.92527359067586e-09,"4","DPM3"
"SLC6A61",1.60467785586856e-13,0.261390856700864,0.349,0.234,3.22941418493547e-09,"4","SLC6A6"
"HNRNPC",2.29071181442493e-13,0.293184315369396,0.812,0.789,4.61005752653017e-09,"4","HNRNPC"
"GUK11",2.80362055760794e-13,0.265015705953566,0.789,0.755,5.64228637218598e-09,"4","GUK1"
"SKP1",2.84408395735777e-13,0.276216117203996,0.739,0.68,5.72371896418251e-09,"4","SKP1"
"RASSF51",3.33049084080617e-13,0.325208827845746,0.285,0.189,6.70261281712241e-09,"4","RASSF5"
"DNAJA41",5.44780703860949e-13,0.296331420989788,0.308,0.204,1.09637116652016e-08,"4","DNAJA4"
"SEPW11",5.46426359234397e-13,0.317750503467619,0.713,0.648,1.09968304795922e-08,"4","SEPW1"
"SLC25A41",6.72317403401982e-13,0.346546969636722,0.437,0.341,1.35303877434649e-08,"4","SLC25A4"
"TMED32",7.4672652866779e-13,0.250509293763379,0.749,0.684,1.50278713894393e-08,"4","TMED3"
"KLF10",8.0735029204479e-13,0.369800479388581,0.391,0.29,1.62479246274014e-08,"4","KLF10"
"RHEB",8.10331960091164e-13,0.374553546188521,0.55,0.489,1.63079306968347e-08,"4","RHEB"
"CD681",8.26544400002266e-13,0.264228329807409,0.509,0.416,1.66342060500456e-08,"4","CD68"
"CAMTA2",1.02533370965511e-12,0.388147599705555,0.264,0.175,2.06348409068091e-08,"4","CAMTA2"
"SEC61B",1.07056789659251e-12,0.341875160412561,0.699,0.649,2.15451789189243e-08,"4","SEC61B"
"ACAT11",1.22286639630626e-12,0.374462734235864,0.341,0.253,2.46101862256635e-08,"4","ACAT1"
"UNC119",1.36545307429246e-12,0.378586862506492,0.265,0.179,2.74797431201357e-08,"4","UNC119"
"AMZ21",1.58223863202732e-12,0.274600119475473,0.275,0.183,3.18425524695497e-08,"4","AMZ2"
"TTC31",1.59428073801563e-12,0.30564647478768,0.644,0.559,3.20848998525645e-08,"4","TTC3"
"UQCRQ1",1.92825366153568e-12,0.313229621724143,0.747,0.704,3.88061049384055e-08,"4","UQCRQ"
"CHMP2A",2.17553406340382e-12,0.326691644514487,0.627,0.593,4.37826230260019e-08,"4","CHMP2A"
"MRPS231",2.50419869068872e-12,0.38444426121963,0.33,0.24,5.03969986501105e-08,"4","MRPS23"
"SPCS21",2.96113911970368e-12,0.326808417832509,0.625,0.562,5.95929247840366e-08,"4","SPCS2"
"ATRAID2",4.77917809751317e-12,0.276015570182972,0.66,0.58,9.61809592124526e-08,"4","ATRAID"
"PGAM1",5.09497539538453e-12,0.316311584329735,0.706,0.653,1.02536379832114e-07,"4","PGAM1"
"CYCS1",6.0729680981482e-12,0.269164852045653,0.555,0.463,1.22218482975232e-07,"4","CYCS"
"CCND2",7.05951706338272e-12,0.392235094243558,0.34,0.249,1.42072780900577e-07,"4","CCND2"
"RAB24",7.14518726958006e-12,0.332970680359664,0.351,0.263,1.43796893800299e-07,"4","RAB24"
"MRPL2",7.92521547086945e-12,0.291592653827237,0.251,0.167,1.59494961351248e-07,"4","MRPL2"
"NKX2.22",1.18396166364806e-11,0.324643282124685,0.391,0.288,2.38272284809173e-07,"4","NKX2.2"
"NACA1",1.26203816894932e-11,0.250800116400698,0.878,0.83,2.53985181501051e-07,"4","NACA"
"MAP1B1",1.39512083287483e-11,0.257955850341096,0.58,0.466,2.8076806761606e-07,"4","MAP1B"
"WLS1",1.58365305505059e-11,0.340766535272581,0.389,0.295,3.18710177328931e-07,"4","WLS"
"MRPS18C",1.61199418557575e-11,0.303777018395799,0.285,0.198,3.2441382984712e-07,"4","MRPS18C"
"MAN1C11",1.65188351801846e-11,0.273315000274354,0.255,0.166,3.32441558001215e-07,"4","MAN1C1"
"NDUFA3",2.14478304992247e-11,0.326372393312703,0.485,0.412,4.31637588796897e-07,"4","NDUFA3"
"BTG31",3.28916636057275e-11,0.321716503813505,0.469,0.382,6.61944730065266e-07,"4","BTG3"
"ANXA71",4.14653150412969e-11,0.288711234815664,0.582,0.511,8.344894652061e-07,"4","ANXA7"
"SNHG191",4.43710912767771e-11,0.282692863982769,0.407,0.32,8.92968211945139e-07,"4","SNHG19"
"HABP4",5.53950911710149e-11,0.278274529684324,0.287,0.2,1.11482620981668e-06,"4","HABP4"
"PSMD81",6.22096239510997e-11,0.254986095235129,0.717,0.682,1.25196868201588e-06,"4","PSMD8"
"ARG21",1.21530037070125e-10,0.330847264183136,0.26,0.179,2.44579199603626e-06,"4","ARG2"
"UCN32",1.29030421533769e-10,0.336818095868755,0.429,0.324,2.5967372333671e-06,"4","UCN3"
"COX7A11",1.61295083673913e-10,0.707994821753458,0.31,0.245,3.2460635589375e-06,"4","COX7A1"
"MDH21",1.82854287134797e-10,0.293858681943655,0.72,0.694,3.67994252858778e-06,"4","MDH2"
"ATP5I1",1.88725229416604e-10,0.28586942626222,0.703,0.684,3.79809524200916e-06,"4","ATP5I"
"ATP5J1",2.14446143697666e-10,0.303096112472624,0.609,0.571,4.31572864191553e-06,"4","ATP5J"
"ARL11",2.86938576172665e-10,0.337834384390286,0.468,0.388,5.77463884547488e-06,"4","ARL1"
"SLC7A5",2.94783499438725e-10,0.278580263486996,0.403,0.305,5.93251792620434e-06,"4","SLC7A5"
"TUBA4A1",2.97510358231216e-10,0.261616509131113,0.51,0.418,5.98739595940322e-06,"4","TUBA4A"
"GUCY1B3",4.01463671737268e-10,0.321511974784733,0.254,0.178,8.07945639371251e-06,"4","GUCY1B3"
"RABAC12",4.20569555868065e-10,0.270710083367318,0.708,0.666,8.46396231184481e-06,"4","RABAC1"
"MRPS331",4.70649666372156e-10,0.287241643762187,0.43,0.349,9.47182453573964e-06,"4","MRPS33"
"MTHFS1",5.40853818818079e-10,0.286805170719798,0.309,0.227,1.08846831037138e-05,"4","MTHFS"
"NKX6.11",5.74956773608039e-10,0.253856918626927,0.338,0.243,1.15710050688618e-05,"4","NKX6.1"
"COPE1",5.89992411295795e-10,0.312001699350065,0.624,0.575,1.18735972773279e-05,"4","COPE"
"NAMPT1",7.8109860654492e-10,0.557783886936356,0.465,0.395,1.57196094567165e-05,"4","NAMPT"
"MYO3A1",8.51226323740089e-10,0.255066303732727,0.254,0.172,1.71309297652693e-05,"4","MYO3A"
"BEX51",9.21927703898932e-10,0.284849683095108,0.261,0.184,1.8553795040966e-05,"4","BEX5"
"HDDC2",9.94420294921373e-10,0.321137988671684,0.31,0.234,2.00127084352926e-05,"4","HDDC2"
"C15orf611",1.02776740751639e-09,0.32711064592591,0.336,0.256,2.06838190762674e-05,"4","C15orf61"
"NCOR21",1.65581410080044e-09,0.387892659380331,0.442,0.371,3.33232587786088e-05,"4","NCOR2"
"BMI1",1.66148315248965e-09,0.308471486753181,0.283,0.206,3.34373484438542e-05,"4","BMI1"
"RGS92",1.83651666438555e-09,0.301058929765177,0.35,0.259,3.69598978707592e-05,"4","RGS9"
"TCEAL31",1.83853725083823e-09,0.296408513567543,0.405,0.323,3.70005621731193e-05,"4","TCEAL3"
"PFDN2",1.88292336939416e-09,0.258835890886292,0.502,0.428,3.78938328090574e-05,"4","PFDN2"
"GDI13",2.3036184061387e-09,0.274357414959498,0.614,0.551,4.63603204235413e-05,"4","GDI1"
"EIF1B",2.72429233799622e-09,0.361223261055885,0.447,0.38,5.48263833021739e-05,"4","EIF1B"
"ETFB",3.41170242695846e-09,0.29102641992189,0.438,0.368,6.8660511342539e-05,"4","ETFB"
"NDUFAF2",6.03826364451868e-09,0.298875825850093,0.261,0.191,0.000121520055845938,"4","NDUFAF2"
"HSBP11",6.6157697933465e-09,0.284392980396742,0.568,0.521,0.000133142367091098,"4","HSBP1"
"RTCB",8.28302432716512e-09,0.31966415583664,0.467,0.405,0.000166695864584198,"4","RTCB"
"EHD1",8.64079717626157e-09,0.372761316567042,0.267,0.196,0.000173896043172264,"4","EHD1"
"PERP1",1.10355676157085e-08,0.35448139209421,0.546,0.495,0.000222090798266134,"4","PERP"
"MAP21",1.10802410653361e-08,0.261008040500816,0.364,0.279,0.000222989851439889,"4","MAP2"
"TMEM1091",1.26900286740832e-08,0.307184562509359,0.526,0.477,0.000255386827065925,"4","TMEM109"
"TXNDC15",1.29710430147987e-08,0.276295157228418,0.268,0.2,0.000261042240672825,"4","TXNDC15"
"NDUFA21",1.48337942701685e-08,0.259291377845812,0.581,0.538,0.00029853010968714,"4","NDUFA2"
"IER3IP12",1.49174070221183e-08,0.269179102862712,0.526,0.469,0.000300212816320131,"4","IER3IP1"
"SRPR1",1.65390171391818e-08,0.280827360418836,0.604,0.552,0.000332847719926034,"4","SRPR"
"COX5A",1.6651193048446e-08,0.285681256033169,0.61,0.582,0.000335105260099976,"4","COX5A"
"HSP90B11",2.04335234535762e-08,0.289162652033016,0.752,0.743,0.000411224659503222,"4","HSP90B1"
"ATP5G11",3.66671337347564e-08,0.278228547498942,0.574,0.53,0.000737926066411973,"4","ATP5G1"
"NDUFC1",3.73945165747791e-08,0.268811464655428,0.532,0.472,0.00075256464606743,"4","NDUFC1"
"C7orf55",5.59016339200967e-08,0.296536068988802,0.272,0.205,0.00112502038264195,"4","C7orf55"
"CREB3",5.64607470534554e-08,0.312154415593187,0.367,0.305,0.00113627253445079,"4","CREB3"
"TSTD12",5.89141140957881e-08,0.263718290887492,0.513,0.454,0.00118564654617774,"4","TSTD1"
"PSMB21",6.38714140596528e-08,0.263319124530172,0.436,0.374,0.00128541220795051,"4","PSMB2"
"NAPA1",6.52850994924034e-08,0.29110938640468,0.517,0.46,0.00131386262728462,"4","NAPA"
"NDUFB11",1.62680677414547e-07,0.298773052071553,0.493,0.441,0.00327394863296776,"4","NDUFB1"
"MGST3",1.65021366572839e-07,0.27920876499707,0.55,0.519,0.00332105500227838,"4","MGST3"
"NDUFB3",1.71037559475208e-07,0.277520163643635,0.429,0.364,0.00344213088443857,"4","NDUFB3"
"PRDX23",2.19089121750336e-07,0.311929969610945,0.613,0.589,0.00440916857522552,"4","PRDX2"
"ZCRB1",2.3172660243625e-07,0.293403706668063,0.344,0.288,0.00466349787402954,"4","ZCRB1"
"HILPDA1",3.65452278673401e-07,0.711784846567412,0.277,0.21,0.0073547271083022,"4","HILPDA"
"ICA11",4.41756877746645e-07,0.29547305850249,0.344,0.283,0.00889035716465123,"4","ICA1"
"UFC1",4.54294507869412e-07,0.294688001064916,0.529,0.49,0.00914267697087192,"4","UFC1"
"HCFC1R1",5.58202849523992e-07,0.30769057812364,0.334,0.277,0.0112338323466703,"4","HCFC1R1"
"C19orf70",5.79845223514069e-07,0.282504080253443,0.439,0.393,0.0116693851232206,"4","C19orf70"
"CHURC1",6.28644537533669e-07,0.264154393292114,0.271,0.212,0.0126514713178651,"4","CHURC1"
"MGST21",7.06307041937925e-07,0.268277547214949,0.285,0.225,0.0142144292190007,"4","MGST2"
"MAGEF1",7.23226727430731e-07,0.277769285932468,0.332,0.27,0.0145549378895435,"4","MAGEF1"
"TMEM167A1",8.24942115575312e-07,0.273231085551577,0.421,0.364,0.0166019600759532,"4","TMEM167A"
"ASAP11",1.00292951877822e-06,0.261688584605002,0.281,0.217,0.0201839565654117,"4","ASAP1"
"PYCR2",1.02445963709745e-06,0.274937520285279,0.396,0.337,0.0206172501965861,"4","PYCR2"
"KRTCAP21",1.21712735839144e-06,0.258311557445811,0.595,0.558,0.0244946880876277,"4","KRTCAP2"
"VEGFA1",1.41361543878171e-06,0.311157499386939,0.62,0.588,0.028449010705482,"4","VEGFA"
"PDHA11",1.55396803047256e-06,0.270581845956526,0.324,0.268,0.0312736066132602,"4","PDHA1"
"RNF7",1.95159477961077e-06,0.270356264554285,0.455,0.414,0.0392758449396667,"4","RNF7"
"MPC11",2.13025335421639e-06,0.272847698648899,0.289,0.228,0.0428713487536049,"4","MPC1"
"KCNMA13",2.30080546481997e-06,0.261485400412996,0.318,0.248,0.0463037099795019,"4","KCNMA1"
"PITHD11",3.38244567542711e-06,0.269292655571443,0.305,0.242,0.0680717192179707,"4","PITHD1"
"BOLA31",3.73788669131239e-06,0.281945543128648,0.37,0.315,0.0752249696626619,"4","BOLA3"
"PLOD21",5.30579296583232e-06,0.290944818078255,0.482,0.437,0.106779083437375,"4","PLOD2"
"SEC22B1",5.89605561715695e-06,0.270642428034458,0.388,0.332,0.118658119295284,"4","SEC22B"
"FUNDC2",1.12491726378525e-05,0.257165836345368,0.482,0.447,0.226389599336782,"4","FUNDC2"
"PSMC1",1.36746411817373e-05,0.264034817648965,0.458,0.417,0.275202153782464,"4","PSMC1"
"ABR1",1.46097604454405e-05,0.250414473433935,0.285,0.227,0.29402142896449,"4","ABR"
"BEX21",3.18763569819092e-05,0.256773269694544,0.395,0.339,0.641511684260923,"4","BEX2"
"GOLGA21",6.29528017410193e-05,0.293261781453176,0.43,0.396,1,"4","GOLGA2"
"CKB2",0.000105479751586912,0.27534504046609,0.366,0.317,1,"4","CKB"
"FNIP21",0.000288967946847622,0.28389413504436,0.452,0.419,1,"4","FNIP2"
"PDIA41",0.00179184999584668,0.300045657811765,0.41,0.389,1,"4","PDIA4"
"MMP7",0,3.76719711407725,0.711,0.018,0,"5","MMP7"
"TACSTD2",0,3.68454622042788,0.939,0.13,0,"5","TACSTD2"
"KRT19",0,3.58260067018382,0.934,0.123,0,"5","KRT19"
"KRT7",0,3.49427324711933,0.922,0.116,0,"5","KRT7"
"CCL2",0,3.2474026944498,0.613,0.038,0,"5","CCL2"
"PMEPA1",0,3.14662991127693,0.936,0.209,0,"5","PMEPA1"
"SERPING1",0,3.00848118221029,0.816,0.095,0,"5","SERPING1"
"LCN2",0,2.95039207223169,0.805,0.118,0,"5","LCN2"
"ANXA4",0,2.90685153337706,0.786,0.159,0,"5","ANXA4"
"CXCL1",0,2.73435072418164,0.463,0.043,0,"5","CXCL1"
"SERPINA5",0,2.67542050968023,0.578,0.029,0,"5","SERPINA5"
"CFTR",0,2.64116472588477,0.603,0.011,0,"5","CFTR"
"CYR61",0,2.59668270373546,0.68,0.095,0,"5","CYR61"
"ANXA2",0,2.55221925346324,0.982,0.689,0,"5","ANXA2"
"LAMC2",0,2.52357419346496,0.644,0.082,0,"5","LAMC2"
"KRT181",0,2.51879448934537,0.935,0.38,0,"5","KRT18"
"TPM1",0,2.50895258270988,0.889,0.287,0,"5","TPM1"
"TINAGL1",0,2.43520893556061,0.755,0.041,0,"5","TINAGL1"
"C3",0,2.40040040564728,0.699,0.069,0,"5","C3"
"SERINC2",0,2.34729519236131,0.865,0.184,0,"5","SERINC2"
"S100A14",0,2.33347244002498,0.712,0.025,0,"5","S100A14"
"S100A10",0,2.30706116779324,0.897,0.302,0,"5","S100A10"
"CFB",0,2.30510354980853,0.783,0.086,0,"5","CFB"
"FLNA",0,2.28492716511075,0.851,0.189,0,"5","FLNA"
"CXCL6",0,2.22383477591544,0.345,0.018,0,"5","CXCL6"
"PFKFB3",0,2.22136081939187,0.691,0.156,0,"5","PFKFB3"
"S100A16",0,2.19889428057895,0.748,0.152,0,"5","S100A16"
