"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IBTK",3.02331697546824e-08,4.02761649618033,0.463,0.174,0.000529050237537187
"CIB1",3.62224941132438e-08,0.317249127587345,0.562,0.362,0.000633857424487653
"ANXA3",3.72333567145011e-08,7.64357173832856,0.413,0.06,0.000651546509147054
"CALR",4.05729449819211e-08,5.09120107570579,0.62,0.412,0.000709985964238637
"KLF5",4.93279750789072e-08,11.0079751067615,0.446,0.07,0.000863190235905796
"TIMM17A",5.02975385247887e-08,1.61897947345154,0.471,0.21,0.000880156626645277
"EIF4EBP2",5.07126662447541e-08,4.30142899396195,0.579,0.27,0.000887420946616953
"TUFT1",5.61291476570587e-08,2.93455715826735,0.421,0.121,0.000982203954850871
"HERPUD1",6.38946079095197e-08,1.15225130707497,0.471,0.29,0.00111809174380868
"RAB1A",7.73838794729332e-08,2.19314905135443,0.636,0.413,0.00135414050689686
"FAM102A",7.76943357391621e-08,3.30303035838474,0.628,0.377,0.0013595731810996
"PLEC",9.70549192886154e-08,6.42657598622505,0.496,0.195,0.00169836403263148
"F3",1.03138516039679e-07,18.6884781543587,0.488,0.148,0.00180482089217834
"WAC",1.14617228699942e-07,0.772538065023509,0.628,0.409,0.00200568688502028
"RIOK3",1.28607602366296e-07,8.12274343331309,0.446,0.185,0.00225050443380781
"BCL2L1",1.41653557188254e-07,5.53716191713052,0.57,0.372,0.00247879559723726
"ONECUT2",1.4168203310704e-07,15.4009120604714,0.438,0.084,0.0024792938973401
"EIF4B",1.54696600460239e-07,1.67194497987483,0.57,0.396,0.00270703581145372
"GARS",1.54789783388965e-07,3.75113459386464,0.545,0.331,0.00270866641952349
"STK24",1.59200983790124e-07,1.59896198959072,0.57,0.307,0.00278585801534338
"MSMO1",1.64820071486371e-07,4.01536888858553,0.545,0.252,0.00288418643094
"NPEPPS",1.73072313835148e-07,0.565458350059237,0.488,0.227,0.00302859241980126
"TSPAN3",1.89502472205337e-07,6.70751646386988,0.595,0.414,0.00331610376112119
"TMBIM1",1.89691533895284e-07,2.83918399291414,0.579,0.336,0.00331941215163358
"NACA",2.09758002507621e-07,1.08952079455659,0.612,0.415,0.00367055528588086
"RPS23",2.10238061695807e-07,1.60625603966402,0.628,0.426,0.00367895584161493
"ARCN1",2.30951637947717e-07,1.43655560780798,0.62,0.392,0.0040414227124471
"IPO7",2.41711604929986e-07,1.90075820270007,0.579,0.312,0.00422971137466982
"GIPC1",2.44113994234707e-07,4.4406737310708,0.496,0.232,0.00427175078511314
"TSPO",2.55970315915207e-07,3.42821437277149,0.545,0.257,0.0044792245582002
"VAPA",2.67827054680195e-07,5.04613874042582,0.603,0.393,0.00468670562984873
"GNG5",3.08507404989336e-07,2.83902314895795,0.612,0.402,0.00539857107990839
"C1orf43",3.51844417521601e-07,2.94855515634877,0.587,0.411,0.00615692546221049
"CHP1",3.74764991345164e-07,4.66754570956754,0.57,0.328,0.00655801258354903
"PDIA6",3.8388989737938e-07,8.53892746038218,0.545,0.385,0.00671768931424177
"FHL2",3.94876857202603e-07,5.90667244006831,0.388,0.073,0.00690995012418834
"RNF13",4.76025159844901e-07,4.56837035992446,0.479,0.226,0.00832996427212593
"LAPTM4A",5.41505854587229e-07,1.25349164140069,0.587,0.432,0.00947581094942191
"CAPZA1",5.7628700581258e-07,10.8925459286763,0.529,0.274,0.0100844463147143
"VIMP",6.65130740260202e-07,3.23944341527594,0.537,0.321,0.0116391228238133
"OCIAD2",7.32192824027055e-07,0.754725379813098,0.603,0.348,0.0128126422276494
"RPL7",7.42854536629202e-07,2.4229271172678,0.57,0.381,0.0129992115364744
"HNRNPC",7.50805880483672e-07,3.48296306295781,0.603,0.433,0.0131383521025838
"H3F3B",7.55099259416562e-07,2.69357667746452,0.62,0.42,0.0132134819405304
"RAB10",7.71850314951049e-07,5.17980594957598,0.562,0.381,0.0135066086613284
"PTGES3",1.03717961659453e-06,0.470268731647527,0.62,0.408,0.0181496061107877
"C1orf106",1.10569669492521e-06,8.15599962783793,0.388,0.08,0.0193485864644962
"ADAM9",1.26060525907768e-06,2.02983675525007,0.512,0.206,0.0220593314286003
"TMED2",1.29368568053555e-06,2.62731598882847,0.57,0.404,0.0226382057236916
"DNAJB9",1.43494974968363e-06,9.69418234394846,0.479,0.323,0.0251101856697138
"EIF2S2",1.56676325545586e-06,1.51917614619129,0.545,0.402,0.0274167902072222
"CLINT1",2.14837657290309e-06,1.51290059786064,0.512,0.238,0.0375944416492312
"CSDE1",2.27544204110724e-06,1.47739304196848,0.612,0.43,0.0398179602773356
"RHOC",2.41782322665462e-06,1.6745404068952,0.595,0.301,0.0423094886432293
